id,title,artist_id,details_id
1,"West Coast Back Streets",6,1
2,Untitled,9,2
3,"West Coast Temple Top",6,3
4,"A Gathering Awareness",2,4
5,"Berry Bright",8,5
6,Forgotten,18,6
7,Flora,7,7
8,"One of the Faces (1)",13,8
9,"The Secret Life of Fireflies",7,9
10,"Meddler in the Dark",24,10
11,"U.S. Flag",5,11
12,"All Stars",7,12
13,Untitled,9,13
14,"For the Queen",10,14
15,"Easter in Paris",8,15
16,"Dilemma of Conscience",22,16
17,Rockface,15,17
18,"Tastes Like Burning",21,18
19,"Tiny Adventure",2,19
20,"Road Runner",12,20
21,Untitled,11,21
22,"Naruto Team 7",22,22
23,"Northern Lights Outside Reykjavik",20,23
24,"Prismatic Recollections",11,24
25,"Emergence of Gabriel",24,25
26,XXXTentacion,19,26
27,Seascapades,8,27
28,"Coder in Space",1,28
29,"Star Trails",20,29
30,"Thursday Morning Transit",4,30
31,"State Park Iconography Series",3,31
32,Waterfall,12,32
33,"Theatrical Release Poster Series: HAIR",3,33
34,"Gaze Upon the Magic Mirror",23,34
35,"St. Louis Cardinal",19,35
36,"Monkey-in' Around",14,36
37,"Road to El Pas de la Casa",17,37
38,Grace,23,38
39,"Candy at Seafood City",20,39
40,"A Little Bit Grumpy",10,40
41,"One of the Faces (2)",13,41
42,Serenity,18,42
43,Monarch,22,43
44,"Two for One",14,44
45,Lost,2,45
46,"The Lou",15,46
47,Fern,18,47
49,"Untitled Brick",3,49
50,"Shadow Walker",14,50
51,"Fire at Nibelheim",24,51
52,Blues,15,52
53,"Unfinished Art Final",16,53
54,"The Juiciest, Most Delicious Burger",19,54
55,"Cailean Brody Concept Sheet",17,55
56,"Alice Bikes Through the Jungle",6,56
57,"Best Dog",13,57
58,"A Portrait Study of a Man",17,58
59,"Goblin Chess Set",10,59
